SEID,LUID,Full Name,Name Type,IMO Number,Current Believed Flag,Previous Flags,Type,Tonnage,Length,Year Built,Current Owner/Operators,Previous Owner/Operators,Other Information,UK Statement of Reasons
#0047992,RUS2328,ATALANTA,Primary Name,9319882.0,Gabon,Marshall Islands; Panama; Singapore; St Kitts and Nevis,Oil Tanker,,,2007.0,Angat Shipping Inc,,"Shipping sanctions: where shipping sanctions apply, a specified ship is prohibited from entering a port in the UK, may be given a movement or a port entry direction, can be detained, and will be refused permission to register on the UK Ship Register or have its existing registration terminated.","IMO 9319882 ('ATALANTA') is involved in activity whose object or effect is to destabilise Ukraine or undermine or threaten the territorial integrity, sovereignty or independence of Ukraine or to obtain a benefit from or support the Government of Russia. Namely, ATALANTA is involved in carrying oil or oil products that originated in Russia from Russia to a third country."
#0047996,RUS2329,SULEYMAN I,Primary Name,9297371.0,Panama,,Oil Tanker,,,2006.0,Morong Shipping Inc,,"Shipping sanctions: where shipping sanctions apply, a specified ship is prohibited from entering a port in the UK, may be given a movement or a port entry direction, can be detained, and will be refused permission to register on the UK Ship Register or have its existing registration terminated.","IMO 9297371 ('SULEYMAN I') is involved in activity whose object or effect is to destabilise Ukraine or undermine or threaten the territorial integrity, sovereignty or independence of Ukraine or to obtain a benefit from or support the Government of Russia. Namely, SULEYMAN I is involved in carrying oil or oil products that originated in Russia from Russia to a third country."
#0047997,RUS2330,NANDA DEVI,Primary Name,9274434.0,Gabon,Greece; Liberia; St Kitts and Nevis,Oil Tanker,,,2003.0,TAGABO MARITIME CORP,,"Shipping sanctions: where shipping sanctions apply, a specified ship is prohibited from entering a port in the UK, may be given a movement or a port entry direction, can be detained, and will be refused permission to register on the UK Ship Register or have its existing registration terminated.","IMO 9274434 ('NANDA DEVI') is involved in activity whose object or effect is to destabilise Ukraine or undermine or threaten the territorial integrity, sovereignty or independence of Ukraine or to obtain a benefit from or support the Government of Russia. Namely, NANDA DEVI is involved in carrying oil or oil products that originated in Russia from Russia to a third country."
#0048000,RUS2331,GEORGY MASLOV,Primary Name,9610793.0,Russia,Gabon; Liberia,Oil Tanker,66818.0,,2012.0,South Fleet Ltd,,"Shipping sanctions: a specified ship is prohibited from being provided with access to or having its master or pilot cause it to enter a port in the UK, may have its registration on the UK Ship Register terminated, and a master or pilot of a specified ship may be given a port barring direction, a detention direction, and a port entry direction or a movement direction.","IMO 9610793 (GEORGY MASLOV) is involved in activity whose object or effect is to destabilise Ukraine or undermine or threaten the territorial integrity, sovereignty or independence of Ukraine or to obtain a benefit from or support the Government of Russia. Namely, GEORGY MASLOV is involved in carrying oil or oil products that originated in Russia from Russia to a third country."
#0048002,RUS2334,DAKSHA,Primary Name,9259185.0,,China; Comoros; Hong Kong; Panama,,57979.0,,2002.0,,,"Shipping sanctions: a specified ship is prohibited from being provided with access to or having its master or pilot cause it to enter a port in the UK, may have its registration on the UK Ship Register terminated, and a master or pilot of a specified ship may be given a port barring direction, a detention direction, and a port entry direction or a movement direction.","IMO 9259185 ('DAKSHA') is involved in activity whose object or effect is to destabilise Ukraine or undermine or threaten the territorial integrity, sovereignty or independence of Ukraine or to obtain a benefit from or support the Government of Russia. Namely, DAKSHA is involved in carrying oil or oil products that originated in Russia from Russia to a third country."
#0048006,RUS2335,KEMEROVO,Primary Name,9312884.0,Russia,Gabon; Liberia,Oil Tanker,57248.0,,2007.0,SOVCOMFLOT,,"Shipping sanctions: a specified ship is prohibited from being provided with access to or having its master or pilot cause it to enter a port in the UK, may have its registration on the UK Ship Register terminated, and a master or pilot of a specified ship may be given a port barring direction, a detention direction, and a port entry direction or a movement direction.","IMO 9312884 ('KEMEROVO') is involved in activity whose object or effect is to destabilise Ukraine or undermine or threaten the territorial integrity, sovereignty or independence of Ukraine or to obtain a benefit from or support the Government of Russia. Namely, KEMEROVO is involved in carrying oil or oil products that originated in Russia from Russia to a third country."
#0048008,RUS2336,ANATOLY KOLODKIN,Primary Name,9610808.0,Russia,Liberia; Panama,Oil Tanker,66855.0,,2013.0,SOVCOMFLOT,,"Shipping sanctions: a specified ship is prohibited from being provided with access to or having its master or pilot cause it to enter a port in the UK, may have its registration on the UK Ship Register terminated, and a master or pilot of a specified ship may be given a port barring direction, a detention direction, and a port entry direction or a movement direction.","IMO 9610808 ('ANATOLY KOLODKIN') is involved in activity whose object or effect is to destabilise Ukraine or undermine or threaten the territorial integrity, sovereignty or independence of Ukraine or to obtain a benefit from or support the Government of Russia. Namely, ANATOLY KOLODKIN is involved in carrying oil or oil products that originated in Russia from Russia to a third country."
#0048010,RUS2337,KOLOMNA,Primary Name,9341093.0,Russia,,Oil Tanker,57248.0,,2006.0,SOVCOMFLOT,,"Shipping sanctions: a specified ship is prohibited from being provided with access to or having its master or pilot cause it to enter a port in the UK, may have its registration on the UK Ship Register terminated, and a master or pilot of a specified ship may be given a port barring direction, a detention direction, and a port entry direction or a movement direction.","IMO 9341093 ('KOLOMNA') is involved in activity whose object or effect is to destabilise Ukraine or undermine or threaten the territorial integrity, sovereignty or independence of Ukraine or to obtain a benefit from or support the Government of Russia. Namely, KOLOMNA is involved in carrying oil or oil products that originated in Russia from Russia to a third country."
#0048013,RUS2341,CEPHEUS,Primary Name,9299721.0,Panama,,Oil Tanker,,,2006.0,"Munne Co Ltd, Columba Ltd",,"Shipping sanctions: a specified ship is prohibited from being provided with access to or having its master or pilot cause it to enter a port in the UK, may have its registration on the UK Ship Register terminated, and a master or pilot of a specified ship may be given a port barring direction, a detention direction, and a port entry direction or a movement direction.","IMO 9299721 (CEPHEUS) is involved in activity whose object or effect is to destabilise Ukraine or undermine or threaten the territorial integrity, sovereignty or independence of Ukraine or to obtain a benefit from or support the Government of Russia. Namely, CEPHEUS is involved in carrying oil or oil products that originated in Russia from Russia to a third country."
#0048014,RUS2342,THEA,Primary Name,9290309.0,Panama,Malta,Oil Tanker,57226.0,243.96,2004.0,THEA STEWART LTD,,"Shipping sanctions: a specified ship is prohibited from being provided with access to or having its master or pilot cause it to enter a port in the UK, may have its registration on the UK Ship Register terminated, and a master or pilot of a specified ship may be given a port barring direction, a detention direction, and a port entry direction or a movement direction.","IMO 9290309 ('THEA') is involved in activity whose object or effect is to destabilise Ukraine or undermine or threaten the territorial integrity, sovereignty or independence of Ukraine or to obtain a benefit from or support the Government of Russia. Namely, THEA is involved in carrying oil or oil products that originated in Russia from Russia to a third country."
#0048015,RUS2342,SEAGRACE; PACIFIC ALLIANCE,Alias,9290309.0,Panama,Malta,Oil Tanker,57226.0,243.96,2004.0,THEA STEWART LTD,,"Shipping sanctions: a specified ship is prohibited from being provided with access to or having its master or pilot cause it to enter a port in the UK, may have its registration on the UK Ship Register terminated, and a master or pilot of a specified ship may be given a port barring direction, a detention direction, and a port entry direction or a movement direction.","IMO 9290309 ('THEA') is involved in activity whose object or effect is to destabilise Ukraine or undermine or threaten the territorial integrity, sovereignty or independence of Ukraine or to obtain a benefit from or support the Government of Russia. Namely, THEA is involved in carrying oil or oil products that originated in Russia from Russia to a third country."
#0048016,RUS2343,ATTICA,Primary Name,9436941.0,Gabon,Malta; Norway; Panama; St Kitts and Nevis,Oil Tanker,55898.0,,2010.0,UNKNOWN/ ELGON MARITIME CORP,,"Shipping sanctions: a specified ship is prohibited from being provided with access to or having its master or pilot cause it to enter a port in the UK, may have its registration on the UK Ship Register terminated, and a master or pilot of a specified ship may be given a port barring direction, a detention direction, and a port entry direction or a movement direction.","IMO 9436941 ('ATTICA') is involved in activity whose object or effect is to destabilise Ukraine or undermine or threaten the territorial integrity, sovereignty or independence of Ukraine or to obtain a benefit from or support the Government of Russia. Namely, ATTICA is involved in carrying oil or oil products that originated in Russia from Russia to a third country."
#0048020,RUS2345,BELGOROD,Primary Name,9412359.0,Russia,,Oil Tanker,,,2010.0,INVEST FLEET LTD; SOVCOMFLOT,,"Shipping sanctions: a specified ship is prohibited from being provided with access to or having its master or pilot cause it to enter a port in the UK, may have its registration on the UK Ship Register terminated, and a master or pilot of a specified ship may be given a port barring direction, a detention direction, and a port entry direction or a movement direction.","IMO 9412359 ('BELGOROD') is involved in activity whose object or effect is to destabilise Ukraine or undermine or threaten the territorial integrity, sovereignty or independence of Ukraine, and/or to obtain a benefit from or support the Government of Russia. Namely, BELGOROD is involved in carrying oil or oil products that originated in Russia from Russia to a third country."
